Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy
410,0.20500000000000002,99014.92155110477,-11.136393117540898,99003.78515798722
420,0.21,99014.20106803607,-10.406385003786468,99003.79468303228
430,0.215,98134.50111708077,905.6790664321538,99040.18018351293
440,0.22,99013.8923168556,-9.876293641783148,99004.01602321383
450,0.225,99013.21402446632,-9.170257818481963,99004.04376664784
460,0.23,99012.67489670466,-8.615351993882829,99004.05954471078
470,0.23500000000000001,99012.24718744037,-8.181887836424092,99004.06529960394
480,0.24,99012.23358404267,-8.171891064027431,99004.06169297863
490,0.245,98940.91187802715,60.085778576607446,99000.99765660377
500,0.25,98999.66998434556,5.024028579643522,99004.6940129252
510,0.255,99015.90833977489,-11.931153468174173,99003.97718630671
520,0.26,98993.26359136503,7.254247601026435,99000.51783896606
530,0.265,99010.39099720202,-6.411868786566851,99003.97912841545
540,0.27,98980.10302142514,23.861120095963237,99003.9641415211
550,0.275,98904.9003461583,99.19031907768593,99004.09066523598
560,0.28,98940.40434956377,63.58903773951084,99003.99338730329
570,0.28500000000000003,98997.91690064504,6.083073454185085,99003.99997409922
580,0.29,99002.7978684705,-0.48691998966595573,99002.31094848084
590,0.295,99291.2279528572,10.484790393887236,99301.71274325109
600,0.3,98988.89903779418,289.9050403181115,99278.8040781123
610,0.305,99318.60651774837,10.484851315660446,99329.09136906403
620,0.31,99307.54794299419,21.55284258668214,99329.10078558087
630,0.315,99302.59778061583,26.518954046872018,99329.1167346627
640,0.32,99306.82891496079,22.063943990009935,99328.8928589508
650,0.325,99296.38912924053,32.62119774263755,99329.01032698317
660,0.33,99267.32261613915,61.896323356659664,99329.21893949581
670,0.335,99328.10314757332,0.9054532901427774,99329.00860086347
680,0.34,99268.31194739223,60.52505137385051,99328.83699876608
690,0.34500000000000003,99120.15606033517,209.3632305211857,99329.51929085635
700,0.35000000000000003,98483.3496757263,843.6591369905618,99327.00881271687
710,0.355,99335.2067695154,-6.092757886610308,99329.11401162879
720,0.36,99258.33569552854,69.82274750512235,99328.15844303367
730,0.365,99049.02383387831,310.19834526619195,99359.2221791445
740,0.37,99323.49998918384,32.40180763063437,99355.90179681448
750,0.375,99290.47706751803,18.3599357465946,99308.83700326463
760,0.38,99281.74412083425,27.229670374055225,99308.97379120831
770,0.385,99260.35347138207,48.538898052962836,99308.89236943504
780,0.39,99249.45955257516,59.450496521846375,99308.91004909702
790,0.395,99297.84903684718,11.165071762444974,99309.01410860963
800,0.4,99316.48380478326,-7.50555056287139,99308.97825422039
810,0.405,99289.5327735973,19.74792086785642,99309.28069446515
820,0.41000000000000003,99316.00153124721,-7.1195088065193675,99308.8820224407
830,0.41500000000000004,99307.07447664056,1.666833528531219,99308.74131016909
840,0.42,99297.49095735111,11.591933766479414,99309.08289111759
850,0.425,99285.20256417479,23.871361488099943,99309.07392566289
860,0.43,99281.37205444454,27.72556160352288,99309.09761604806
870,0.435,99275.76743711783,33.193299268788984,99308.96073638662
880,0.44,99158.75735809638,132.48029407084636,99291.23765216723
890,0.445,99341.82049713052,14.572786288765881,99356.3932834193
900,0.45,99361.25274054088,-4.807317971130388,99356.44542256974
910,0.455,99358.0469245578,-1.5649400238945939,99356.48198453391
920,0.46,99328.61292516202,27.884937712727655,99356.49786287475
930,0.465,99153.71015323029,183.19437501571707,99336.90452824601
940,0.47000000000000003,99314.78475745268,42.79129389814262,99357.57605135083
950,0.47500000000000003,99355.65690356528,1.9423418132322958,99357.59924537851
960,0.48,99357.58530485978,0.273609268946839,99357.85891412872
970,0.485,99327.09306908665,29.527753415525737,99356.62082250218
980,0.49,98669.02373038222,695.3544104942264,99364.37814087645
990,0.495,86328.51078201407,7111.093907237213,93439.60468925128
1000,0.5,95082.16281285885,-0.3682396518978308,95081.79457320695
1010,0.505,95090.99062120062,-9.144006804661478,95081.84661439595
