Step,Kinetic,Potential,Total,Temperature
1480,354.7454742362832,-8.959776087399915,345.7856981488833,2.95621228530236
1520,345.6158889310122,-8.649322626550655,336.96656630446154,2.880132407758435
1560,337.3562081886487,-8.511039087780723,328.84516910086796,2.8113017349054057
1600,329.93261314004525,-8.581599626495954,321.3510135135493,2.74943844283371
1640,323.18342785758944,-8.759305171478399,314.42412268611105,2.6931952321465786
1680,316.89314653112825,-8.875610515412147,308.01753601571613,2.6407762210927355
1720,311.0432546740076,-8.94458078570244,302.09867388830514,2.5920271222833966
1760,305.80908970509756,-9.184857084603955,296.6242326204936,2.548409080875813
1800,301.13927734848704,-9.59546617743631,291.5438111710507,2.5094939779040586
1840,296.65152515736395,-9.823267745132934,286.82825741223104,2.4720960429780328
1880,292.1671328096427,-9.695076663088614,282.47205614655405,2.4347261067470223
1920,288.56695500607555,-10.122378733708608,278.44457627236693,2.4047246250506293
1960,281.67406666202135,-6.9070460948149535,274.7670205672064,2.347283888850178
2000,272.83099860661997,-0.9202022630846887,271.9107963435353,2.2735916550551662
2040,279.67962863456717,-10.705079264680787,268.9745493698864,2.330663571954726
2080,278.0838006296039,-12.251775910597235,265.83202471900665,2.317365005246699
2120,274.8874407812638,-11.975834692444508,262.9116060888193,2.2907286731771985
2160,272.13261315964263,-11.902744391320576,260.22986876832204,2.2677717763303553
2200,269.62423491678334,-11.866797451643079,257.75743746514024,2.246868624306528
2240,267.02564494108094,-11.5376189901057,255.48802595097524,2.2252137078423413
2280,264.5283771829582,-11.103032238083502,253.4253449448747,2.2044031431913185
2320,262.4490785437113,-10.9021625555851,251.54691598812622,2.187075654530928
2360,260.8334989443826,-11.016877048550908,249.8166218958317,2.1736124912031882
2400,259.3143021927919,-11.108289240663915,248.206012952128,2.1609525182732656
2440,257.6625838769478,-10.938783110703739,246.72380076624404,2.147188198974565
2480,256.1113739466955,-10.740008208380601,245.3713657383149,2.1342614495557957
2520,254.84734989029272,-10.713309944414268,244.13403994587844,2.1237279157524394
2560,253.79004472703662,-10.802645668876272,242.98739905816035,2.1149170393919716
2600,252.82276078012652,-10.900695435307753,241.92206534481875,2.106856339834388
2640,251.91632863310613,-10.983730153967244,240.9325984791389,2.0993027386092176
2680,251.05578487647884,-11.0422699456771,240.01351493080173,2.0921315406373235
2720,250.26555201385685,-11.10388406005586,239.161667953801,2.0855462667821403
2760,249.76049790805675,-11.397821867096317,238.36267604096042,2.0813374825671396
2800,248.65674615477926,-11.051869184608012,237.60487697017123,2.072139551289827
2840,245.63198780248192,-8.539910920174112,237.0920768823078,2.0469332316873494
2880,249.4847621181268,-13.037626981371655,236.44713513675515,2.0790396843177232
2920,249.09893723111503,-13.40455385988786,235.69438337122716,2.0758244769259586
2960,247.5264527430809,-12.501406223099337,235.02504651998157,2.062720439525674
3000,247.89785162360076,-13.468010804866477,234.42984081873428,2.065815430196673
3040,248.73152535693058,-14.98168761333239,233.7498377435982,2.072762711307755
3080,247.45911505714287,-14.36808885320874,233.09102620393412,2.0621592921428573
3120,245.23014712266425,-12.652837410462869,232.57730971220138,2.0435845593555353
3160,243.6548230178452,-11.413238386261582,232.2415846315836,2.0304568584820433
3200,245.43841804132268,-13.548522021952579,231.8898960193701,2.0453201503443554
3240,246.87239348841916,-15.485293361503189,231.38710012691598,2.0572699457368264
3280,245.0009734110498,-14.135266972852872,230.86570643819695,2.0416747784254152
3320,229.8063785800045,1.1913094141019442,230.99768799410643,1.9150531548333707
3360,242.14078440104726,-10.691457082772253,231.449327318275,2.017839870008727
3400,244.57752543345458,-13.466759064991802,231.11076636846278,2.038146045278788
3440,243.08498977151135,-12.28303177422179,230.80195799728955,2.025708248095928
3480,241.95503769449417,-11.35384943602244,230.60118825847172,2.0162919807874515
