Step,Kinetic,Potential,Total,Temperature
1600,479.58013498989203,-5.477829764524461,474.10230522536756,3.1972008999326134
1640,477.42864399087176,-5.607146411055874,471.8214975798159,3.182857626605812
1680,475.4402633506179,-5.736101014335392,469.7041623362825,3.169601755670786
1720,473.5978475264326,-5.855011076191294,467.74283645024127,3.1573189835095508
1760,471.9574620554379,-6.03759583043235,465.91986622500553,3.146383080369586
1800,470.6303178508159,-6.409198141055082,464.22111970976084,3.137535452338773
1840,469.690334217012,-7.081608524014577,462.6087256929974,3.1312688947800797
1880,468.97051356331485,-7.9090989121171695,461.0614146511977,3.126470090422099
1920,467.42052282759306,-7.830342259382672,459.59018056821037,3.11613681885062
1960,463.8240512098415,-5.475867232294897,458.3481839775466,3.0921603413989436
2000,466.61021016676057,-9.456894106639265,457.1533160601213,3.1107347344450704
2040,467.11331155432435,-11.325829586212855,455.7874819681115,3.1140887436954956
2080,466.12850430500055,-11.676507739972392,454.45199656502814,3.107523362033337
2120,464.123790422424,-10.895208308423628,453.2285821140004,3.09415860281616
2160,461.27832899923567,-9.054381899219926,452.2239471000157,3.0751888599949044
2200,462.06449271820196,-10.76364370804734,451.3008490101546,3.0804299514546796
2240,461.5860236316748,-11.24668035415524,450.33934327751956,3.0772401575444985
2280,459.4403526356591,-9.950854296126188,449.48949833953293,3.0629356842377273
2320,457.3013709062362,-8.473466228590578,448.8279046776456,3.0486758060415746
2360,456.83190450244706,-8.560488987285925,448.27141551516115,3.0455460300163137
2400,456.96271383832277,-9.242421684488972,447.7202921538338,3.046418092255485
2440,456.87693629308893,-9.718510107926717,447.1584261851622,3.0458462419539263
2480,456.87540342905345,-10.264324318702204,446.6110791103512,3.0458360228603563
2520,456.667552188818,-10.603316077371439,446.0642361114465,3.044450347925453
2560,455.9865329902729,-10.432403243370093,445.5541297469028,3.0399102199351526
2600,455.4049175045542,-10.303864677849546,445.10105282670463,3.0360327833636944
2640,454.6928785111316,-9.999523443195418,444.6933550679362,3.0312858567408774
2680,453.1401529535685,-8.765183255936346,444.37496969763214,3.0209343530237898
2720,452.0102753697242,-7.827539104579284,444.1827362651449,3.0134018357981613
2760,452.44677391170706,-8.446675480166935,444.0000984315401,3.016311826078047
2800,451.9255645828887,-8.106663355911785,443.8189012269769,3.0128370972192577
2840,451.4155734329857,-7.728307472817926,443.6872659601678,3.0094371562199047
2880,451.0329043243736,-7.446440282817128,443.58646404155644,3.0068860288291575
2920,450.57234369049286,-7.049782101956051,443.5225615885368,3.003815624603286
2960,450.12580550081674,-6.629356897061894,443.49644860375486,3.0008387033387782
3000,449.73569114669783,-6.23308656496146,443.50260458173636,2.9982379409779853
3040,449.4238030833423,-5.887286170017166,443.53651691332516,2.996158687222282
3080,449.21153044807124,-5.619932241767872,443.5915982063034,2.994743536320475
3120,449.09467571643756,-5.43429201873243,443.66038369770513,2.9939645047762506
3160,448.94903047156714,-5.211242752719686,443.73778771884747,2.992993536477114
3200,448.2192386655613,-4.3774270197083665,443.84181164585294,2.9881282577704087
3240,446.8764008888296,-2.8342412378383326,444.04215965099127,2.9791760059255306
3280,447.98954083586017,-3.7282640176065636,444.2612768182536,2.9865969389057345
3320,448.9801784958083,-4.605856549681532,444.37432194612677,2.993201189972055
3360,449.1167171336696,-4.66876327453577,444.44795385913386,2.9941114475577977
3400,449.1649086878561,-4.646888223446274,444.5180204644098,2.994432724585707
3440,449.2396717918243,-4.660394843135862,444.57927694868846,2.9949311452788288
3480,448.3997632895172,-3.7442117434634463,444.65555154605374,2.9893317552634477
